Unidades Curriculares,Código Fénix,"Nova Codificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Espanhol B1,85833,LLE2061,TP1 e TP2 - ZOOM,S1,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,,,08:00-09:30,
Espanhol B1,85833,LLE2061,TP2,S1,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,09:30-11:00,09:30-11:00,,
Espanhol B1,85833,LLE2061,TP3,S1,Maria del Cármen Fondo Lavandeira,,15:30-17:00,,15:30-17:00,,
Espanhol B1,85833,LLE2061,TP3 - ZOOM,S1,Maria del Cármen Fondo Lavandeira,,,,,15:30-17:00,
Espanhol B1,85833,LLE2061,TP4,S2,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,,15:30-17:00,15:30-17:00,,
Espanhol B1,85833,LLE2061,TP4 - ZOOM,S2,Maria Margarida Amado dos Santos Baltasar Nunes Acosta,,15:30-17:00,,,,
Espanhol B1,85833,LLE2061,TP5,S2,Sara Beatriz González Rivera,,,14:00-15:30,,14:00-15:30,
Espanhol B1,85833,LLE2061,TP5 - ZOOM,S2,Sara Beatriz González Rivera,14:00-15:30,,,,,
Espanhol B2.1,85844,LLE2062,TP1,S1,Maria del Cármen Fondo Lavandeira,,17:00-18:30,,17:00-18:30,,
Espanhol B2.1,85844,LLE2062,TP1 - ZOOM,S1,Maria del Cármen Fondo Lavandeira,,,,,17:00-18:30,
Espanhol B2.1,85844,LLE2062,TP2,S2,Maria del Cármen Fondo Lavandeira,,11:00-12:30,,11:00-12:30,,
Espanhol B2.1,85844,LLE2062,"TP2, TP3 e TP4 - ZOOM",S2,Maria del Cármen Fondo Lavandeira,12:30-14:00,,,,,
Espanhol B2.1,85844,LLE2062,TP3,S2,Maria del Cármen Fondo Lavandeira,,12:30-14:00,,12:30-14:00,,
Espanhol B2.1,85844,LLE2062,TP4,S2,Maria del Cármen Fondo Lavandeira,,14:00-15:30,,14:00-15:30,,
Espanhol B2.2,85855,LLE2063,TP1,S1,Jania Salazar Flores,,,09:30-11:00,09:30-11:00,,
Espanhol B2.2,85855,LLE2063,TP1 - ZOOM,S1,Jania Salazar Flores,,,,,09:30-11:00,
Espanhol B2.2,85855,LLE2063,TP2,S2,Jania Salazar Flores,,,11:00-12:30,,11:00-12:30,
Espanhol B2.2,85855,LLE2063,TP2 - ZOOM,S2,Jania Salazar Flores,,11:00-12:30,,,,
Espanhol C1,85866,LLE3061,TP1,S1,Jania Salazar Flores,,,08:00-09:30,08:00-09:30,,
Espanhol C1,85866,LLE3061,TP1 - ZOOM,S1,Jania Salazar Flores,,,,,08:00-09:30,
Espanhol C1,85866,LLE3061,TP2,S2,Jania Salazar Flores,,,09:30-11:00,,09:30-11:00,
Espanhol C1,85866,LLE3061,TP2 - ZOOM,S2,Jania Salazar Flores,,09:30-11:00,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Espanhol C2,85876,LLE3062,TP1,S2,Jania Salazar Flores,,,08:00-09:30,,08:00-09:30,
Espanhol C2,85876,LLE3062,TP1 - ZOOM,S2,Jania Salazar Flores,,08:00-09:30,,,,
Estágio curricular,77746,HIS3002,TP1 - ZOOM,S2,Clara Maria Martins de Moura Soares,09:30-11:00,,,,,
Estágio Curricular [Estudos Africanos],78600,HIS3001,TP1 - ZOOM,S2,João Eduardo Nunes Belo,,18:30-20:00,,,,
Estágio Curricular [Estudos Africanos],78600,HIS3001,TP1A,S2,João Eduardo Nunes Belo,18:30-20:00,,,,,
Estágio Curricular [Estudos Africanos],78600,HIS3001,TP1B,S2,João Eduardo Nunes Belo,20:00-21:30,,,,,
Estética,34261,FIL2009,TP1 - Presencial,S2,Filipa Maria Oliveira de Almeida Afonso/Ricardo Mendonza-Canales,,,11:00-12:30,,11:00-12:30,
Estética,34261,FIL2009,TP2 - Presencial,S2,Filipa Maria Oliveira de Almeida Afonso/Ricardo Mendonza-Canales,,,14:00-15:30,,14:00-15:30,
Estrutura Prosódica e Significação,85563,LIN2014,TP1 - ZOOM,S1,Marina Cláudia Pereira Verga e Afonso Vigário,,,12:30-14:00,,,
Estrutura Prosódica e Significação,85563,LIN2014,TP1A,S1,Marina Cláudia Pereira Verga e Afonso Vigário,12:30-14:00,,,,,
Estrutura Prosódica e Significação,85563,LIN2014,TP1B,S1,Marina Cláudia Pereira Verga e Afonso Vigário,14:00-15:30,,,,,
Estruturas e Materiais das Antigas Sociedades Camponesas,78940,HIS2152,TP1,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,,15:30-17:00,,
Estruturas e Materiais das Antigas Sociedades Camponesas,78940,HIS2152,TP1 - ZOOM,S2,Ana Catarina de Freitas Alves Bravo de Sousa,,,11:00-12:30,,,
Estudos Bíblicos,HIS2164,HIS2164,TP1 - ZOOM,S2,Docente a Indicar,,18:30-20:00,,,,
Estudos Bíblicos,HIS2164,HIS2164,TP1A,S2,Docente a Indicar,,,09:30-11:00,,,
Estudos Bíblicos,HIS2164,HIS2164,TP1B,S2,Docente a Indicar,,,14:00-15:30,,,
Estudos Camilianos,99805,LAC2036,TP1 - ZOOM,S2,Serafina Maria Grazina Martins,08:00-09:30,,,,,
Estudos Camilianos,99805,LAC2036,TP1A,S2,Serafina Maria Grazina Martins,,,08:00-09:30,,,
Estudos Camilianos,99805,LAC2036,TP1B,S2,Serafina Maria Grazina Martins,,,09:30-11:00,,,
Estudos Camonianos,97443,LAC2037,TP1 - ZOOM,S1,Hélio João dos Santos Alves,,,,14:00-15:30,,
Estudos Camonianos,97443,LAC2037,TP1A,S1,Hélio João dos Santos Alves,,,11:00-12:30,,,
Estudos Camonianos,97443,LAC2037,TP1B,S1,Hélio João dos Santos Alves,,,12:30-14:00,,,
Estudos Culturais,11566,LAC2038,TP1 - ZOOM,S1,Fernanda Cândida da Mota Alves,,,,,11:00-12:30,
Estudos Culturais,11566,LAC2038,TP1A,S1,Fernanda Cândida da Mota Alves,11:00-12:30,,,,,
Estudos Culturais,11566,LAC2038,TP1B,S1,Fernanda Cândida da Mota Alves,12:30-14:00,,,,,
Estudos Culturais,11566,LAC2038,TP2 - ZOOM,S2,Nelson Pinheiro Gomes,,09:30-11:00,,,,
Estudos Culturais,11566,LAC2038,TP2A,S2,Nelson Pinheiro Gomes,,,08:00-09:30,,,
Estudos Culturais,11566,LAC2038,TP2B,S2,Nelson Pinheiro Gomes,,,09:30-11:00,,,
Estudos de Género,98073,LAC2039,TP1 - ZOOM,S2,Luísa Susete Afonso Soares,,,18:30-20:00,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Estudos de Género,98073,LAC2039,TP1A,S2,Luísa Susete Afonso Soares,,,,09:30-11:00,,
Estudos de Género,98073,LAC2039,TP1B,S2,Luísa Susete Afonso Soares,,,,11:00-12:30,,
Estudos de Género,98073,LAC2039,TP2 - ZOOM,S2,Maria Fernanda Gil Pinheiro da Costa,,,18:30-20:00,,,
Estudos de Género,98073,LAC2039,TP2A,S2,Maria Fernanda Gil Pinheiro da Costa,,,,,15:30-17:00,
Estudos de Género,98073,LAC2039,TP2B,S2,Maria Fernanda Gil Pinheiro da Costa,,,,,17:00-18:30,
Estudos Interartes e Intermédia,62240,LAC2041,TP1 - ZOOM,S1,Margarida Eugénia Machado de Matos Madureira,11:00-12:30,,,,,
Estudos Interartes e Intermédia,62240,LAC2041,TP1A,S1,Margarida Eugénia Machado de Matos Madureira,,,14:00-15:30,,,
Estudos Interartes e Intermédia,62240,LAC2041,TP1B,S1,Margarida Eugénia Machado de Matos Madureira,,,15:30-17:00,,,
Estudos Interartes e Intermédia,62240,LAC2041,TP2 - ZOOM,S1,Joana Matos Frias,,,,,18:30-20:00,
Estudos Interartes e Intermédia,62240,LAC2041,TP2A,S1,Joana Matos Frias,17:00-18:30,,,,,
Estudos Interartes e Intermédia,62240,LAC2041,TP2B,S1,Joana Matos Frias,18:30-20:00,,,,,
Estudos Literários: Crítica Literária,98470,LAC2171,TP1 - ZOOM,S2,João Ricardo Raposo Figueiredo,,,,,14:00-15:30,
Estudos Literários: Crítica Literária,98470,LAC2171,TP1A,S2,João Ricardo Raposo Figueiredo,,11:00-12:30,,,,
Estudos Literários: Crítica Literária,98470,LAC2171,TP1B,S2,João Ricardo Raposo Figueiredo,,14:00-15:30,,,,
Estudos Pessoanos,97454,LAC2045,TP1 - ZOOM,S2,Rita Roque Gameiro Tenreiro Patrício Teixeira,,,,,15:30-17:00,
Estudos Pessoanos,97454,LAC2045,TP1A,S2,Rita Roque Gameiro Tenreiro Patrício Teixeira,12:30-14:00,,,,,
Estudos Pessoanos,97454,LAC2045,TP1B,S2,Rita Roque Gameiro Tenreiro Patrício Teixeira,14:00-15:30,,,,,
Estudos Queirosianos,99816,LAC2046,TP1 - ZOOM,S1,Maria de Fátima Rodrigues de Freitas Morna,,,,,08:00-09:30,
Estudos Queirosianos,99816,LAC2046,TP1A,S1,Maria de Fátima Rodrigues de Freitas Morna,08:00-09:30,,,,,
Estudos Queirosianos,99816,LAC2046,TP1B,S1,Maria de Fátima Rodrigues de Freitas Morna,09:30-11:00,,,,,
Ética,34452_8ects,FIL2010,TP1,S2,Pedro Miguel Galvão Lourenço,,,12:30-14:00,,12:30-14:00,
Ética,34452_8ects,FIL2010,TP1 - ZOOM,S2,Pedro Miguel Galvão Lourenço,12:30-15:30,,,,,
Ética e Teorias da Justiça,34460,FIL2056,TP1 - ZOOM,S2,Pedro Manuel dos Santos Alves,,,09:30-11:00,,,
Ética e Teorias da Justiça,34460,FIL2056,TP1A,S2,Pedro Manuel dos Santos Alves,,,,12:30-14:00,,
Ética e Teorias da Justiça,34460,FIL2056,TP1B,S2,Pedro Manuel dos Santos Alves,,,,15:30-17:00,,
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP1 - ZOOM,S2,Maria Alexandre Lopes Campanhã Lousada,,,,,15:30-17:00,
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP1A,S2,Maria Alexandre Lopes Campanhã Lousada,17:00-18:30,,,,,
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP1B,S2,Maria Alexandre Lopes Campanhã Lousada,15:30-17:00,,,,,
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP2 - ZOOM,S2,Teresa Maria e Sousa Nunes,,,,15:30-17:00,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP2A,S2,Teresa Maria e Sousa Nunes,,15:30-17:00,,,,
Europa - Guerras e Reconstrução no século XX,51205,HIS2053,TP2B,S2,Teresa Maria e Sousa Nunes,,17:00-18:30,,,,
Europa: Nações e Impérios,51210,HIS2054,TP1 - ZOOM,S1,AnnaRita Gori/Maria Alexandre Lopes Campanhã Lousada,,,,,11:00-12:30,
Europa: Nações e Impérios,51210,HIS2054,TP1A,S1,AnnaRita Gori/Maria Alexandre Lopes Campanhã Lousada,09:30-11:00,,,,,
Europa: Nações e Impérios,51210,HIS2054,TP1B,S1,AnnaRita Gori/Maria Alexandre Lopes Campanhã Lousada,11:00-12:30,,,,,
Europa: Nações e Impérios,51210,HIS2054,TP2 - ZOOM,S1,Teresa Maria e Sousa Nunes,,,11:00-12:30,,,
Europa: Nações e Impérios,51210,HIS2054,TP2A,S1,Teresa Maria e Sousa Nunes,,15:30-17:00,,,,
Europa: Nações e Impérios,51210,HIS2054,TP2B,S1,Teresa Maria e Sousa Nunes,,17:00-18:30,,,,
Europa-Ásia: Processos de Relacionamento,78802,HIS2055,TP1 - ZOOM,S1,Luís Filipe Sousa Barreto,,,,,09:30-11:00,
Europa-Ásia: Processos de Relacionamento,78802,HIS2055,TP1A,S1,Luís Filipe Sousa Barreto,,09:30-11:00,,,,
Europa-Ásia: Processos de Relacionamento,78802,HIS2055,TP1B,S1,Luís Filipe Sousa Barreto,,11:00-12:30,,,,
Exercícios críticos sobre a cultura contemporânea,99886,LAC2048,TP1 - ZOOM,S2,Rui Manuel Pina Coelho,,,,12:30-14:00,,
Exercícios críticos sobre a cultura contemporânea,99886,LAC2048,TP1A,S2,Rui Manuel Pina Coelho,11:00-12:30,,,,,
Exercícios críticos sobre a cultura contemporânea,99886,LAC2048,TP1B,S2,Rui Manuel Pina Coelho,12:30-14:00,,,,,
Extração e Produção Metalúrgica,HIS2051,HIS2051,TP1,S1,Carlos Samuel Pires Pereira/Francisco Gomes,,,,14:00-15:30,,
Extração e Produção Metalúrgica,HIS2051,HIS2051,TP1 - ZOOM,S1,Carlos Samuel Pires Pereira/Francisco Gomes,,,14:00-15:30,,,
Filosofia Antiga,34235_8ects,FIL2013,TP1,S1,António Pedro Sangreman Proença de Marcelino Mesquita,,,12:30-14:00,11:00-12:30,,
Filosofia Antiga,34235_8ects,FIL2013,TP1 - ZOOM,S1,António Pedro Sangreman Proença de Marcelino Mesquita,11:00-14:00,,,,,
Filosofia Contemporânea,34474_8ects,FIL2014,TP1,S1,António José Teiga Zilhão,12:30-14:00,,,12:30-14:00,,
Filosofia Contemporânea,34474_8ects,FIL2014,TP1 - ZOOM,S1,António José Teiga Zilhão,,,,,11:00-14:00,
Filosofia Contemporânea,34474_8ects,FIL2014,TP2,S1,Nuno Gabriel de Castro Nabais dos Santos,09:30-11:00,,,09:30-11:00,,
Filosofia Contemporânea,34474_8ects,FIL2014,TP2 - ZOOM,S1,Nuno Gabriel de Castro Nabais dos Santos,,,,,11:00-14:00,
Filosofia da Arte,34781,FIL2015,TP1 - ZOOM,S1,Carlos João Tavares Nunes Correia,18:30-20:00,,18:30-20:00,,,
Filosofia da História,35214,FIL2017,TP1 - ZOOM,S2,José Viriato Soromenho Marques,,11:00-12:30,,,,
Filosofia da História,35214,FIL2017,TP1A,S2,José Viriato Soromenho Marques,,,15:30-17:00,,,
Filosofia da História,35214,FIL2017,TP1B,S2,José Viriato Soromenho Marques,,,,,17:00-18:30,
Filosofia da Linguagem,34373,FIL2018,TP1 - ZOOM,S2,Maria Adriana Sequeira da Silva Graça,08:00-09:30,,,,,
Filosofia da Linguagem,34373,FIL2018,TP1A,S2,Maria Adriana Sequeira da Silva Graça,,14:00-15:30,,,,
Filosofia da Linguagem,34373,FIL2018,TP1B,S2,Maria Adriana Sequeira da Silva Graça,,,,14:00-15:30,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Filosofia da Lógica,34465,FIL2019,TP1 - ZOOM,S2,Ricardo Jorge Rodrigues dos Santos,18:30-20:00,,,,,
Filosofia da Lógica,34465,FIL2019,TP1A,S2,Ricardo Jorge Rodrigues dos Santos,,18:30-20:00,,,,
Filosofia da Lógica,34465,FIL2019,TP1B,S2,Ricardo Jorge Rodrigues dos Santos,,,,18:30-20:00,,
Filosofia da Religião,34801,FIL2021,TP1 - ZOOM,S1,Paulo Alexandre Esteves Borges,,17:00-18:30,,,,
Filosofia da Religião,34801,FIL2021,TP1A,S1,Paulo Alexandre Esteves Borges,,,17:00-18:30,,,
Filosofia da Religião,34801,FIL2021,TP1B,S1,Paulo Alexandre Esteves Borges,,,,,17:00-18:30,
Filosofia do Conhecimento,35001_8ects,FIL2023,TP1,S1,João Miguel Biscaia Valadas Branquinho,,08:00-09:30,,08:00-09:30,,
Filosofia do Conhecimento,35001_8ects,FIL2023,TP1 - ZOOM,S1,João Miguel Biscaia Valadas Branquinho,08:00-11:00,,,,,
Filosofia do Conhecimento,35001_8ects,FIL2023,TP2,S1,David Yates,,17:00-18:30,,17:00-18:30,,
Filosofia do Conhecimento,35001_8ects,FIL2023,TP2 - ZOOM,S1,David Yates,17:00-20:00,,,,,
Filosofia e Meditação,34470,FIL2025,TP1 - ZOOM,S1,Paulo Alexandre Esteves Borges,,15:30-17:00,,,,
Filosofia e Meditação,34470,FIL2025,TP1A,S1,Paulo Alexandre Esteves Borges,,,15:30-17:00,,,
Filosofia e Meditação,34470,FIL2025,TP1B,S1,Paulo Alexandre Esteves Borges,,,,,15:30-17:00,
Filosofia em Portugal,34272_8ects,FIL2027,TP1,S2,Paulo Alexandre Esteves Borges,,,15:30-17:00,,15:30-17:00,
Filosofia em Portugal,34272_8ects,FIL2027,TP1 - ZOOM,S2,Paulo Alexandre Esteves Borges,,09:30-12:30,,,,
Filosofia Medieval,34250_8ects,FIL2029,TP1,S2,Maria Leonor Lamas de Oliveira Xavier,,,17:00-18:30,,17:00-18:30,
Filosofia Medieval,34250_8ects,FIL2029,TP1 - ZOOM,S2,Maria Leonor Lamas de Oliveira Xavier,,15:30-18:30,,,,
Filosofia Moderna,34463_8ects,FIL2030,TP1,S1,Pedro Miguel Galvão Lourenço,11:00-12:30,,,11:00-12:30,,
Filosofia Moderna,34463_8ects,FIL2030,TP1 - ZOOM,S1,Pedro Miguel Galvão Lourenço,,,,,17:00-20:00,
Filosofia Norte-Americana,12635,FIL2032,TP1- ZOOM,S1,José Viriato Soromenho Marques,,14:00-15:30,,,,
Filosofia Norte-Americana,12635,FIL2032,TP1A,S1,José Viriato Soromenho Marques,,,11:00-12:30,,,
Filosofia Norte-Americana,12635,FIL2032,TP1B,S1,José Viriato Soromenho Marques,,,,,14:00-15:30,
Filosofia Social e Política,32551,FIL2033,TP1 e TP2 - ZOOM,S1,José Manuel Gomes da Silva André,,,,,12:30-14:00,
Filosofia Social e Política,32551,FIL2033,TP1A,S1,José Manuel Gomes da Silva André,12:30-14:00,,,,,
Filosofia Social e Política,32551,FIL2033,TP1B,S1,José Manuel Gomes da Silva André,14:00-15:30,,,,,
Filosofia Social e Política,32551,FIL2033,TP2A,S1,José Manuel Gomes da Silva André,,12:30-14:00,,,,
Filosofia Social e Política,32551,FIL2033,TP2B,S1,José Manuel Gomes da Silva André,,14:00-15:30,,,,
Filosofia Social e Política na Europa,34475,FIL2034,TP1 e TP2 - ZOOM,S1,José Manuel Gomes da Silva André,,,,,12:30-14:00,
Filosofia Social e Política na Europa,34475,FIL2034,TP1A,S1,José Manuel Gomes da Silva André,12:30-14:00,,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Filosofia Social e Política na Europa,34475,FIL2034,TP1B,S1,José Manuel Gomes da Silva André,14:00-15:30,,,,,
Filosofia Social e Política na Europa,34475,FIL2034,TP2A,S1,José Manuel Gomes da Silva André,,12:30-14:00,,,,
Filosofia Social e Política na Europa,34475,FIL2034,TP2B,S1,José Manuel Gomes da Silva André,,14:00-15:30,,,,
Filosofias na Ásia,34913,HIS2153,TP1 - ZOOM,S2,Paulo Alexandre Esteves Borges,,12:30-14:00,,,,
Filosofias na Ásia,34913,HIS2153,TP1A,S2,Paulo Alexandre Esteves Borges,,,17:00-18:30,,,
Filosofias na Ásia,34913,HIS2153,TP1B,S2,Paulo Alexandre Esteves Borges,,,,,17:00-18:30,
Fonética,84016,LIN2015,TP1 - ZOOM,S2,Fernando da Assunção Martins,,18:30-20:00,,,,
Fonética,84016,LIN2015,TP1A,S2,Fernando da Assunção Martins,,,,12:30-14:00,,
Fonética,84016,LIN2015,TP1B,S2,Fernando da Assunção Martins,,,,14:00-15:30,,
Fonologia,85282,LIN2016,TP1 - ZOOM,S1,Gueorgui Nenov Hristovski,,,,,15:30-17:00,
Fonologia,85282,LIN2016,TP1A,S1,Gueorgui Nenov Hristovski,,,,15:30-17:00,,
Fonologia,85282,LIN2016,TP1B,S1,Gueorgui Nenov Hristovski,,,,17:00-18:30,,
Fonologia,85282,LIN2016,TP2 - ZOOM,S2,Maria João dos Reis Freitas,,,,,14:00-15:30,
Fonologia,85282,LIN2016,TP2A,S2,Maria João dos Reis Freitas,,12:30-14:00,,,,
Fonologia,85282,LIN2016,TP2B,S2,Maria João dos Reis Freitas,,14:00-15:30,,,,
Fontes e Métodos para os Estudos Asiáticos,56524,HIS1024,TP1 - ZOOM,S1,António Eduardo Hawthorne Barrento/Elisabetta Colla Rosado Coelho David,,,,,12:30-14:00,
Fontes e Métodos para os Estudos Asiáticos,56524,HIS1024,TP1A,S1,António Eduardo Hawthorne Barrento/Elisabetta Colla Rosado Coelho David,,09:30-11:00,,,,
Fontes e Métodos para os Estudos Asiáticos,56524,HIS1024,TP1B,S1,António Eduardo Hawthorne Barrento/Elisabetta Colla Rosado Coelho David,,11:00-12:30,,,,
Francês A1,86755,LLE1072,TP1,S1,Anabela Maria Silvestre Cordeiro,08:00-09:30,,08:00-09:30,,,
Francês A1,86755,LLE1072,TP1 - ZOOM,S1,Anabela Maria Silvestre Cordeiro,,,,,08:00-09:30,
Francês A1,86755,LLE1072,TP2,S1,Hurrydeo Beefun,15:30-17:00,,15:30-17:00,,,
Francês A1,86755,LLE1072,TP2 e TP3 - ZOOM,S1,Hurrydeo Beefun,,,,,15:30-17:00,
Francês A1,86755,LLE1072,TP3,S1,Hurrydeo Beefun,17:00-18:30,,17:00-18:30,,,
Francês A1,86755,LLE1072,TP4,S1,Aurora Gonçalves Coutinho,,,12:30-14:00,,12:30-14:00,
Francês A1,86755,LLE1072,TP4 e TP5 - ZOOM,S1,Aurora Gonçalves Coutinho,12:30-14:00,,,,,
Francês A1,86755,LLE1072,TP5,S1,Aurora Gonçalves Coutinho,,,14:00-15:30,,14:00-15:30,
Francês A1,86755,LLE1072,TP6,S2,Aurora Gonçalves Coutinho,,,08:00-09:30,,08:00-09:30,
Francês A1,86755,LLE1072,TP6 - ZOOM,S2,Aurora Gonçalves Coutinho,08:00-09:30,,,,,
Francês A2.1,85982,LLE1073,TP1,S1,Maria Cristina Lopes Avelino,,,08:00-09:30,,08:00-09:30,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Francês A2.1,85982,LLE1073,TP1 - ZOOM,S1,Maria Cristina Lopes Avelino,,08:00-09:30,,,,
Francês A2.1,85982,LLE1073,TP2,S1,Aurora Gonçalves Coutinho,,,15:30-17:00,,15:30-17:00,
Francês A2.1,85982,LLE1073,TP2 - ZOOM,S1,Aurora Gonçalves Coutinho,15:30-17:00,,,,,
Francês A2.1,85982,LLE1073,TP3,S2,Maria Cristina Lopes Avelino,,09:30-11:00,,09:30-11:00,,
Francês A2.1,85982,LLE1073,TP3 e TP4 - ZOOM,S2,Maria Cristina Lopes Avelino,,,,,09:30-11:00,
Francês A2.1,85982,LLE1073,TP4,S2,Maria Cristina Lopes Avelino,,11:00-12:30,,11:00-12:30,,
Francês A2.1,85982,LLE1073,TP5,S2,Aurora Gonçalves Coutinho,,,09:30-11:00,,09:30-11:00,
Francês A2.1,85982,LLE1073,TP5 - ZOOM,S2,Aurora Gonçalves Coutinho,09:30-11:00,,,,,
Francês A2.1,85982,LLE1073,TP6,S2,Aurora Gonçalves Coutinho,,,11:00-12:30,,11:00-12:30,
Francês A2.1,85982,LLE1073,TP6 - ZOOM,S2,Aurora Gonçalves Coutinho,11:00-12:30,,,,,
Francês A2.1,85982,LLE1073,TP7,S2,Maria Helena Marques Antunes,11:00-12:30,,11:00-12:30,,,
Francês A2.1,85982,LLE1073,TP7 - ZOOM,S2,Maria Helena Marques Antunes,,,,,11:00-12:30,
Francês A2.2,85993,LLE1074,TP1,S1,Francine Arroyo,,14:00-15:30,14:00-15:30,,,
Francês A2.2,85993,LLE1074,TP1 - ZOOM,S1,Francine Arroyo,,,,14:00-15:30,,
Francês A2.2,85993,LLE1074,TP2,S1,Anabela Maria Silvestre Cordeiro,09:30-11:00,,09:30-11:00,,,
Francês A2.2,85993,LLE1074,TP2 - ZOOM,S1,Anabela Maria Silvestre Cordeiro,,,,,09:30-11:00,
Francês A2.2,85993,LLE1074,TP3,S2,Francine Arroyo,,,14:00-15:30,,14:00-15:30,
Francês A2.2,85993,LLE1074,TP3 - ZOOM,S2,Francine Arroyo,14:00-15:30,,,,,
Francês A2.2,85993,LLE1074,TP4,S2,Anabela Maria Silvestre Cordeiro,,12:30-14:00,,12:30-14:00,,
Francês A2.2,85993,LLE1074,TP4 - ZOOM,S2,Anabela Maria Silvestre Cordeiro,,,,,12:30-14:00,
Francês B1.1,85743,LLE2071,TP1,S1,Anabela Maria Silvestre Cordeiro,11:00-12:30,,11:00-12:30,,,
Francês B1.1,85743,LLE2071,TP1 - ZOOM,S1,Anabela Maria Silvestre Cordeiro,,,,,11:00-12:30,
Francês B1.1,85743,LLE2071,TP2,S1,Maria Helena Marques Antunes,,09:30-11:00,,09:30-11:00,,
Francês B1.1,85743,LLE2071,TP2 - ZOOM,S1,Maria Helena Marques Antunes,09:30-11:00,,,,,
Francês B1.1,85743,LLE2071,TP3,S2,Anabela Maria Silvestre Cordeiro,,14:00-15:30,,14:00-15:30,,
Francês B1.1,85743,LLE2071,TP3 - ZOOM,S2,Anabela Maria Silvestre Cordeiro,,,,,14:00-15:30,
Francês B1.1,85743,LLE2071,TP4,S2,Maria Helena Marques Antunes,09:30-11:00,,09:30-11:00,,,
Francês B1.1,85743,LLE2071,TP4 - ZOOM,S2,Maria Helena Marques Antunes,,,,,09:30-11:00,
Francês B1.2,85754,LLE2072,TP1,S1,Francine Arroyo,,15:30-17:00,15:30-17:00,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Francês B1.2,85754,LLE2072,TP1 - ZOOM,S1,Francine Arroyo,,,,15:30-17:00,,
Francês B1.2,85754,LLE2072,TP2,S2,Anabela Maria Silvestre Cordeiro,,15:30-17:00,,15:30-17:00,,
Francês B1.2,85754,LLE2072,TP2 - ZOOM,S2,Anabela Maria Silvestre Cordeiro,,,,,15:30-17:00,
Francês B2.1,85765,LLE2073,TP1,S1,Maria Cristina Lopes Avelino,,,09:30-11:00,,09:30-11:00,
Francês B2.1,85765,LLE2073,TP1 - ZOOM,S1,Maria Cristina Lopes Avelino,,09:30-11:00,,,,
Francês B2.1,85765,LLE2073,TP2,S2,Francine Arroyo,,,15:30-17:00,,15:30-17:00,
Francês B2.1,85765,LLE2073,TP2 - ZOOM,S2,Francine Arroyo,15:30-17:00,,,,,
Francês B2.2,85776,LLE2074,TP1,S1,Maria Cristina Lopes Avelino,,,11:00-12:30,,11:00-12:30,
Francês B2.2,85776,LLE2074,TP1 - ZOOM,S1,Maria Cristina Lopes Avelino,,11:00-12:30,,,,
Francês B2.2,85776,LLE2074,TP2,S2,Letícia Almeida,12:30-14:00,,12:30-14:00,,,
Francês B2.2,85776,LLE2074,TP2 - ZOOM,S2,Letícia Almeida,,,,,12:30-14:00,
Francês C1.1,85780,LLE3071,TP1,S1,Maria Helena Marques Antunes,,08:00-09:30,,08:00-09:30,,
Francês C1.1,85780,LLE3071,TP1 - ZOOM,S1,Maria Helena Marques Antunes,08:00-09:30,,,,,
Francês C1.1,85780,LLE3071,TP2,S2,Maria Helena Marques Antunes,08:00-09:30,,08:00-09:30,,,
Francês C1.1,85780,LLE3071,TP2 - ZOOM,S2,Maria Helena Marques Antunes,,,,,08:00-09:30,
Francês C1.2,85791,LLE3072,TP1,S1,Maria Helena Marques Antunes,,08:00-09:30,,08:00-09:30,,
Francês C1.2,85791,LLE3072,TP1 - ZOOM,S1,Maria Helena Marques Antunes,08:00-09:30,,,,,
Francês C1.2,85791,LLE3072,TP2,S2,Maria Cristina Lopes Avelino,,08:00-09:30,,08:00-09:30,,
Francês C1.2,85791,LLE3072,TP2 - ZOOM,S2,Maria Cristina Lopes Avelino,,,,,08:00-09:30,
