Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Alemão A1.2,61913,LLE1012,TP4,S2,Nora Heitmann,,11:00-12:30,11:00-12:30,,,
Alemão A1.2,61913,LLE1012,TP4 - ZOOM,S2,Nora Heitmann,,,,,11:00-12:30,
Alemão A1.2,61913,LLE1012,TP5,S2,Nora Heitmann,,12:30-14:00,12:30-14:00,,,
Alemão A1.2,61913,LLE1012,TP5 - ZOOM,S2,Nora Heitmann,,,,,12:30-14:00,
Alemão A1.2,61913,LLE1012,TP6,S2,Maja Ensslin,08:00-09:30,,08:00-09:30,,,
Alemão A1.2,61913,LLE1012,TP6 - ZOOM,S2,Maja Ensslin,,,,,08:00-09:30,
Alemão A2.1,61924,LLE1013,TP1,S1,Vera Maria San Payo de Lemos,17:00-18:30,,17:00-18:30,,,
Alemão A2.1,61924,LLE1013,TP1 - ZOOM,S1,Vera Maria San Payo de Lemos,,,,17:00-18:30,,
Alemão A2.1,61924,LLE1013,TP2,S1,Jasmin Mbambo (Elagy),,,12:30-14:00,12:30-14:00,,
Alemão A2.1,61924,LLE1013,TP2 - ZOOM,S1,Jasmin Mbambo (Elagy),12:30-14:00,,,,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Alemão A2.1,61924,LLE1013,TP3,S1,Askan Ghobeyshi,14:00-15:30,,14:00-15:30,,,
Alemão A2.1,61924,LLE1013,TP3 - ZOOM,S1,Askan Ghobeyshi,,,,14:00-15:30,,
Alemão A2.2,61935,LLE1014,TP1,S2,Vera Maria San Payo de Lemos,,,17:00-18:30,17:00-18:30,,
Alemão A2.2,61935,LLE1014,TP1 - ZOOM,S2,Vera Maria San Payo de Lemos,17:00-18:30,,,,,
Alemão A2.2,61935,LLE1014,TP2,S2,Jasmin Mbambo (Elagy),12:30-14:00,,12:30-14:00,,,
Alemão A2.2,61935,LLE1014,TP2 - ZOOM,S2,Jasmin Mbambo (Elagy),,,,12:30-14:00,,
Alemão A2.2,61935,LLE1014,TP3,S2,Maja Ensslin,09:30-11:00,,09:30-11:00,,,
Alemão A2.2,61935,LLE1014,TP3 - ZOOM,S2,Maja Ensslin,,,,,09:30-11:00,
Alemão B1.1,61961,LLE2011,TP1,S1,Martina Dorothee Merklin,,,15:30-17:00,15:30-17:00,,
Alemão B1.1,61961,LLE2011,TP1 - ZOOM,S1,Martina Dorothee Merklin,15:30-17:00,,,,,
Alemão B1.2,61972,LLE2012,TP1,S2,Martina Dorothee Merklin,,,,15:30-17:00,15:30-17:00,
Alemão B1.2,61972,LLE2012,TP1 - ZOOM,S2,Martina Dorothee Merklin,,15:30-17:00,,,,
Alemão B2.1,62260,LLE2013,TP1,S1,Jasmin Mbambo (Elagy),,,11:00-12:30,11:00-12:30,,
Alemão B2.1,62260,LLE2013,TP1 - ZOOM,S1,Jasmin Mbambo (Elagy),11:00-12:30,,,,,
Alemão B2.2,62273,LLE2014,TP1,S2,Jasmin Mbambo (Elagy),11:00-12:30,,11:00-12:30,,,
Alemão B2.2,62273,LLE2014,TP1 - ZOOM,S2,Jasmin Mbambo (Elagy),,,,11:00-12:30,,
Alemão C1.1,62071,LLE3011,TP1,S1,Jakob Maché,,,,08:00-09:30,08:00-09:30,
Alemão C1.1,62071,LLE3011,TP1 - ZOOM,S1,Jakob Maché,,,08:00-09:30,,,
Alemão C1.2,62082,LLE3012,TP1,S2,Jakob Maché,,08:00-09:30,,08:00-09:30,,
Alemão C1.2,62082,LLE3012,TP1 - ZOOM,S2,Jakob Maché,,,,,08:00-09:30,
Alemão C2.1,LLE3013,LLE3013,TP1,S1,Andrea Riedel,,,14:00-15:30,14:00-15:30,,
Alemão C2.1,LLE3013,LLE3013,TP1 - ZOOM,S1,Andrea Riedel,,14:00-15:30,,,,
Análise do Discurso,12104,COR1011,TP1 - ZOOM,S1,Maria Amália Pereira Mendes,,,,,09:30-11:00,
